2020-05-14 14:06:10: "ResourceFetcher: Auto-added resources: 1"
2020-05-14 14:06:10: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 14:06:10: "ResourceFetcher: Auto-added resources: 2"
2020-05-14 14:06:10: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 14:06:10: "ResourceFetcher: Auto-added resources: 2"
2020-05-14 14:06:10: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 14:06:10: "ResourceFetcher: Auto-added resources: 0"
2020-05-14 14:06:11: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 14:06:11: "ResourceFetcher: Auto-added resources: 0"
2020-05-14 14:06:11: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 14:06:11: "ResourceFetcher: Auto-added resources: 0"
2020-05-14 14:06:14: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 14:06:14: "ResourceFetcher: Auto-added resources: 0"
2020-05-14 14:06:19: "SearchEngine: Updating FTS table..."
2020-05-14 14:06:19: "SearchEngine: Updated FTS table in 62ms. Inserted: 12. Deleted: 0"
2020-05-14 14:06:26: "Operations completed: "
2020-05-14 14:06:26: "fetchingTotal: 1059"
2020-05-14 14:06:26: "fetchingProcessed: 1059"
2020-05-14 14:06:26: "createLocal: 817"
2020-05-14 14:06:26: "Total folders: 23"
2020-05-14 14:06:26: "Total notes: 344"
2020-05-14 14:06:26: "Total resources: 23"
2020-05-14 14:06:27: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 14:06:29: "SearchEngine: Updating FTS table..."
2020-05-14 14:06:29: "SearchEngine: Updated FTS table in 34ms. Inserted: 6. Deleted: 0"
2020-05-14 14:07:11: "Running background sync on timer..."
2020-05-14 14:07:11: "Scheduling sync operation...", "0"
2020-05-14 14:07:11: "Preparing scheduled sync"
2020-05-14 14:07:11: "Starting scheduled sync"
2020-05-14 14:07:15: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 14:07:15: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 14:07:16: "Operations completed: "
2020-05-14 14:07:16: "fetchingTotal: -"
2020-05-14 14:07:16: "Total folders: 23"
2020-05-14 14:07:16: "Total notes: 344"
2020-05-14 14:07:16: "Total resources: 23"
2020-05-14 14:07:17: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 14:12:11: "RevisionService::maintenance: Starting..."
2020-05-14 14:12:11: "RevisionService::maintenance: Service is enabled"
2020-05-14 14:12:11: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 14:12:11: "RevisionService::maintenance: Done in 477ms"
2020-05-14 14:12:16: "Running background sync on timer..."
2020-05-14 14:12:16: "Scheduling sync operation...", "0"
2020-05-14 14:12:16: "Preparing scheduled sync"
2020-05-14 14:12:16: "Starting scheduled sync"
2020-05-14 14:12:20: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 14:12:20: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 14:12:20: "Operations completed: "
2020-05-14 14:12:20: "fetchingTotal: -"
2020-05-14 14:12:20: "Total folders: 23"
2020-05-14 14:12:20: "Total notes: 344"
2020-05-14 14:12:20: "Total resources: 23"
2020-05-14 14:12:21: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 14:13:36: "Disabling fullscreen..."
2020-05-14 15:24:08: "Running background sync on timer..."
2020-05-14 15:24:08: "Scheduling sync operation...", "0"
2020-05-14 15:24:08: "Preparing scheduled sync"
2020-05-14 15:24:08: "Starting scheduled sync"
2020-05-14 15:24:08: "RevisionService::maintenance: Starting..."
2020-05-14 15:24:08: "RevisionService::maintenance: Service is enabled"
2020-05-14 15:24:09: "RevisionService::collectRevisions: Created revisions for 1 notes"
2020-05-14 15:24:09: "RevisionService::maintenance: Done in 246ms"
2020-05-14 15:24:18: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:24:18: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:24:19: "SearchEngine: Updating FTS table..."
2020-05-14 15:24:19: "SearchEngine: Updated FTS table in 38ms. Inserted: 1. Deleted: 0"
2020-05-14 15:24:19: "Operations completed: "
2020-05-14 15:24:19: "updateRemote: 1"
2020-05-14 15:24:19: "createRemote: 1"
2020-05-14 15:24:19: "fetchingTotal: 2"
2020-05-14 15:24:19: "fetchingProcessed: 2"
2020-05-14 15:24:19: "Total folders: 23"
2020-05-14 15:24:19: "Total notes: 344"
2020-05-14 15:24:19: "Total resources: 23"
2020-05-14 15:24:20: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:29:19: "Running background sync on timer..."
2020-05-14 15:29:19: "Scheduling sync operation...", "0"
2020-05-14 15:29:19: "Preparing scheduled sync"
2020-05-14 15:29:19: "Starting scheduled sync"
2020-05-14 15:29:23: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:29:23: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:29:24: "Operations completed: "
2020-05-14 15:29:24: "fetchingTotal: 1"
2020-05-14 15:29:24: "fetchingProcessed: 1"
2020-05-14 15:29:24: "updateLocal: 1"
2020-05-14 15:29:24: "Total folders: 23"
2020-05-14 15:29:24: "Total notes: 344"
2020-05-14 15:29:24: "Total resources: 23"
2020-05-14 15:29:25: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:29:34: "SearchEngine: Updating FTS table..."
2020-05-14 15:29:34: "SearchEngine: Updated FTS table in 33ms. Inserted: 1. Deleted: 0"
2020-05-14 15:34:08: "RevisionService::maintenance: Starting..."
2020-05-14 15:34:08: "RevisionService::maintenance: Service is enabled"
2020-05-14 15:34:09: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 15:34:09: "RevisionService::maintenance: Done in 106ms"
2020-05-14 15:34:24: "Running background sync on timer..."
2020-05-14 15:34:24: "Scheduling sync operation...", "0"
2020-05-14 15:34:24: "Preparing scheduled sync"
2020-05-14 15:34:24: "Starting scheduled sync"
2020-05-14 15:34:28: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:34:28: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:34:29: "Operations completed: "
2020-05-14 15:34:29: "fetchingTotal: -"
2020-05-14 15:34:29: "Total folders: 23"
2020-05-14 15:34:29: "Total notes: 344"
2020-05-14 15:34:29: "Total resources: 23"
2020-05-14 15:34:30: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:39:29: "Running background sync on timer..."
2020-05-14 15:39:29: "Scheduling sync operation...", "0"
2020-05-14 15:39:29: "Preparing scheduled sync"
2020-05-14 15:39:29: "Starting scheduled sync"
2020-05-14 15:39:34: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:39:34: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:39:35: "Operations completed: "
2020-05-14 15:39:35: "fetchingTotal: 1"
2020-05-14 15:39:35: "fetchingProcessed: 1"
2020-05-14 15:39:35: "createLocal: 1"
2020-05-14 15:39:35: "Total folders: 23"
2020-05-14 15:39:35: "Total notes: 344"
2020-05-14 15:39:35: "Total resources: 23"
2020-05-14 15:39:36: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:44:08: "RevisionService::maintenance: Starting..."
2020-05-14 15:44:08: "RevisionService::maintenance: Service is enabled"
2020-05-14 15:44:09: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 15:44:09: "RevisionService::maintenance: Done in 104ms"
2020-05-14 15:44:35: "Running background sync on timer..."
2020-05-14 15:44:35: "Scheduling sync operation...", "0"
2020-05-14 15:44:35: "Preparing scheduled sync"
2020-05-14 15:44:35: "Starting scheduled sync"
2020-05-14 15:44:39: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:44:39: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:44:40: "Operations completed: "
2020-05-14 15:44:40: "fetchingTotal: -"
2020-05-14 15:44:40: "Total folders: 23"
2020-05-14 15:44:40: "Total notes: 344"
2020-05-14 15:44:40: "Total resources: 23"
2020-05-14 15:44:41: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:49:40: "Running background sync on timer..."
2020-05-14 15:49:40: "Scheduling sync operation...", "0"
